waveform	Sine
t0	01/01/1904  01:00:00,000000
delta t	0,001000

time	Sine
01/01/1904  01:00:00,498000	-6,404463E-2
01/01/1904  01:00:00,499000	1,247098E-1
01/01/1904  01:00:00,500000	1,000000E+0
01/01/1904  01:00:00,501000	1,000000E+0
01/01/1904  01:00:00,502000	1,000000E+0
01/01/1904  01:00:00,503000	1,000000E+0
01/01/1904  01:00:00,504000	1,000000E+0
01/01/1904  01:00:00,505000	1,000000E+0
01/01/1904  01:00:00,506000	1,000000E+0
01/01/1904  01:00:00,507000	1,000000E+0
01/01/1904  01:00:00,508000	1,000000E+0
01/01/1904  01:00:00,509000	1,000000E+0
01/01/1904  01:00:00,510000	1,000000E+0
01/01/1904  01:00:00,511000	1,000000E+0
01/01/1904  01:00:00,512000	1,000000E+0
01/01/1904  01:00:00,513000	1,000000E+0
01/01/1904  01:00:00,514000	1,000000E+0
01/01/1904  01:00:00,515000	1,000000E+0
01/01/1904  01:00:00,516000	1,000000E+0
01/01/1904  01:00:00,517000	-1,000000E+0
01/01/1904  01:00:00,518000	-1,000000E+0
01/01/1904  01:00:00,519000	-1,000000E+0
01/01/1904  01:00:00,520000	-1,000000E+0
01/01/1904  01:00:00,521000	-1,000000E+0
01/01/1904  01:00:00,522000	-1,000000E+0
01/01/1904  01:00:00,523000	-1,000000E+0
01/01/1904  01:00:00,524000	-1,000000E+0
01/01/1904  01:00:00,525000	-1,000000E+0
01/01/1904  01:00:00,526000	-1,000000E+0
01/01/1904  01:00:00,527000	-1,000000E+0
01/01/1904  01:00:00,528000	-1,000000E+0
01/01/1904  01:00:00,529000	-1,000000E+0
01/01/1904  01:00:00,530000	-1,000000E+0
01/01/1904  01:00:00,531000	-1,000000E+0
01/01/1904  01:00:00,532000	-1,000000E+0
01/01/1904  01:00:00,533000	-1,000000E+0
01/01/1904  01:00:00,534000	1,000000E+0
01/01/1904  01:00:00,535000	1,000000E+0
01/01/1904  01:00:00,536000	1,000000E+0
01/01/1904  01:00:00,537000	1,000000E+0
01/01/1904  01:00:00,538000	1,000000E+0
01/01/1904  01:00:00,539000	1,000000E+0
01/01/1904  01:00:00,540000	1,000000E+0
01/01/1904  01:00:00,541000	1,000000E+0
01/01/1904  01:00:00,542000	1,000000E+0
01/01/1904  01:00:00,543000	1,000000E+0
01/01/1904  01:00:00,544000	1,000000E+0
01/01/1904  01:00:00,545000	1,000000E+0
01/01/1904  01:00:00,546000	1,000000E+0
01/01/1904  01:00:00,547000	1,000000E+0
